property_id,suburb,address,Postcode,source_url,sale_price,sale_date,prev_sale_price,prev_sale_date,property_type,bedrooms,bathrooms,car_spaces,Pool,land_size_m2,building_size_m2,year_built,auction_type,Storeys,renovated,listing_description,Realtor,flag_notes,Unnamed: 23,Unnamed: 24,sale_year,sale_month,property_age,years_since_prev_sale,price_growth_pct,price_per_m2,desc_word_count,desc_length,luxury_word_count
EP041,Epping,"11 Third Avenue, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-145772156,2826000.0,2024-09-08,443000.0,2002-06-13,House,4,2,3.0,0.0,562.0,261.0,2004.0,No,2,1.0,Tranquil Sunlit Family Haven in Ultra Convenient Locale,Property Value section shows car spaces as 2 (vs listing's 3),Uniland Real Estate | Epping - Castle Hill,,,2024,9,20.0,22.239561943874058,537.923250564334,5028.46975088968,8,55,0
EP042,Epping,"10 Hillside Crescent, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-145768412,2100000.0,2024-08-31,1655000.0,2017-03-01,House,2,1,2.0,0.0,1182.0,201.0,1975.0,No,2,0.0,Fantastic home near Epping station and Park,"Property Value section shows conflicting 3 bed/3 bath/6 car (vs listing's 2/1/2); also shows historical sales in 2017 ($1,655,000) and 2002 ($650,000)",McGrath Epping,,,2024,8,49.0,7.501711156741957,26.888217522658607,1776.6497461928934,7,43,0
EP043,Epping,"5 McKechnie Street, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-145641440,3915000.0,2024-08-24,2350000.0,2017-12-02,House,7,4,2.0,0.0,929.0,65.0,2012.0,No,2,0.0,Spacious Family Home with Granny Flat in Great Location,"Listing's own Property features separately list Carport spaces:2 + Garage spaces:2 (4 total) vs header icon showing car=2; Property Value section shows an unrelated/mismatched record (2 bed/1 bath/0 car Unit, built 2012, land 930m2, floor 65m2) - inconsistent with the listing's 7-bed house with granny flat description, likely a data error in that section",Stone Real Estate - Beecroft / Castle Hill / Epping,,,2024,8,12.0,6.7268993839835725,66.59574468085107,4214.2088266953715,9,55,0
EP044,Epping,"3A Melrose Street, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-145382256,4400000.0,2024-07-27,,,House,5,3,2.0,0.0,526.0,268.0,,No,2,0.0,Luxuriously crafted brand new timeless masterpiece,,McGrath Epping,,,2024,7,29.0,,,8365.019011406845,6,50,0
EP045,Epping,"4/73A Essex Street, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-townhouse-nsw-epping-145592988,1690000.0,2024-07-25,680000.0,2011-07-01,Townhouse,3,2,2.0,0.0,3860.0,85.0,1995.0,No,2,1.0,Luxury and convenient low maintenance lifestyle,"Land size (3,860m2) shown in Property Value section reflects the whole complex, not the individual townhouse lot (left blank)",McGrath Epping,,,2024,7,29.0,13.067761806981519,148.52941176470588,437.8238341968912,6,47,1
BT001,Blacktown,"9 Nicholas Street, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-house-nsw-blacktown-151025772,1200000.0,2026-07-28,,,House,5,2,1.0,0.0,550.0,282.0,,No,1,0.0,Spacious Family Home,Starr Partners - Blacktown,,,,2026,7,21.0,,,2181.818181818182,3,20,0
BT002,Blacktown,"3 Kingsford Street, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-house-nsw-blacktown-151059772,1050000.0,2026-07-23,,,House,3,2,1.0,0.0,768.0,204.0,,No,1,0.0,Versatile Family Home with Detached Teenagers' Retreat & Expansive Backyard,Manor Real Estate,,,,2026,7,21.0,,,1367.1875,10,75,0
BT003,Blacktown,"1 Wilga Street, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-house-nsw-blacktown-151470032,950000.0,2026-06-22,215000.0,2000-10-06,House,1,1,2.0,0.0,626.0,145.0,,No,1,0.0,SOLD BY CRAIG ROBINSON,Ray White Castle Hill,,,,2026,6,21.0,25.70841889117043,341.86046511627904,1517.5718849840255,4,22,0
BT004,Blacktown,"13 Turner Street, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-house-nsw-blacktown-150986952,1020000.0,2026-06-12,801000.0,2021-08-29,House,3,1,2.0,0.0,562.0,206.0,1960.0,No,1,0.0,"Sold By Sandy Shi & Mandy Huang ""Maison Bridge Property""",Maison Bridge Property - WEST RYDE,,,,2026,6,66.0,4.785763175906913,27.340823970037455,1814.946619217082,10,56,0
BT005,Blacktown,"4/65 Turner Street, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-villa-nsw-blacktown-150970708,800000.0,2026-05-29,625000.0,2022-11-25,Villa,3,1,2.0,0.0,2217.0,197.0,2003.0,No,1,0.0,Perfect First Home or Investment in a Quiet Complex,Manor Real Estate,,,,2026,5,23.0,3.5071868583162216,28.000000000000004,360.8479927830401,9,51,0
